FC..class1.class2.	P.value
LP_009431	-Inf	9.525e-12
LP_24939	-Inf	4.506e-09
LP_009442	-Inf	3.891e-08
LP_27237	-Inf	6.891e-08
LP_009409	-Inf	1.578e-06
LP_000796	-Inf	1.618e-06
LP_009310	-Inf	2.002e-06
LP_009288	-Inf	2.109e-06
LP_34206	-Inf	4.971e-06
LP_27027	-Inf	8.326e-06
LP_20366	-Inf	3.69e-05
LP_30125	-Inf	4.285e-05
LN_005077	-Inf	5.358e-05
LP_001948	-Inf	5.66e-05
LP_20946	-Inf	6.079e-05
LP_002047	-Inf	6.083e-05
LP_002457	-Inf	8.466e-05
LP_002311	-Inf	0.0001531
LP_003051	-Inf	0.0001651
LP_35310	-Inf	0.000224
LP_30223	-Inf	0.0002361
LP_000851	-Inf	0.0002685
LP_23980	-Inf	0.0002826
PP_041929	-Inf	0.0003339
LP_002179	-Inf	0.0003654
LP_002036	-Inf	0.0003775
LN_003349	-Inf	0.001055
LP_28693	-Inf	0.001235
LP_27435	-Inf	0.001274
LP_003128	-Inf	0.001564
LP_22581	-Inf	0.001634
LP_002446	-Inf	0.001895
LP_001871	-Inf	0.002073
LP_19486	-Inf	0.002175
LP_26233	-Inf	0.002284
LP_002300	-Inf	0.002392
LP_002468	-Inf	0.002622
LP_28580	-Inf	0.002664
PP_039913	-Inf	0.003106
LP_002168	-Inf	0.004055
LP_005812	-Inf	0.00422
LP_009365	-Inf	0.00433
LP_29154	-Inf	0.004582
LP_28871	-Inf	0.005681
LP_37109	-Inf	0.007703
LP_009398	-Inf	0.007724
LP_24810	-Inf	0.007981
LN_16499	-Inf	0.00917
LP_25975	-Inf	0.009283
LP_37241	-Inf	0.009447
LP_31689	-Inf	0.01035
LP_36122	-Inf	0.01081
LP_31538	-Inf	0.011
LP_35086	-Inf	0.01139
LP_35311	-Inf	0.0114
LP_19551	-Inf	0.01265
LP_36495	-Inf	0.01289
LP_26834	-Inf	0.01584
LP_19835	-Inf	0.01629
LP_004467	-Inf	0.01822
LP_29153	-Inf	0.01987
LP_33935	-Inf	0.02035
LP_001882	-Inf	0.02142
LP_000906	-Inf	0.02151
LP_26479	-Inf	0.02239
LP_37912	-Inf	0.02259
LP_30020	-Inf	0.02418
LP_34819	-Inf	0.02475
LP_004676	-Inf	0.02485
LP_36412	-Inf	0.02543
LP_002058	-Inf	0.02606
LP_19912	-Inf	0.02687
LP_22839	-Inf	0.02706
LP_37291	-Inf	0.02782
LP_30315	-Inf	0.02868
LP_23854	-Inf	0.03129
LP_004456	-Inf	0.03133
LP_30123	-Inf	0.03169
LP_001959	-Inf	0.03608
LP_004687	-Inf	0.03616
LP_37954	-Inf	0.03653
LP_27026	-Inf	0.03911
LP_005086	-Inf	0.03921
LP_29011	-Inf	0.03936
LP_004544	-Inf	0.04186
PP_013297	-Inf	0.04218
LP_35001	-Inf	0.04222
LP_20843	-Inf	0.04475
LP_002157	-Inf	0.04605
LP_36413	-Inf	0.04656
LP_31157	-Inf	0.04695
LP_28691	-Inf	0.04781
PP_042673	Inf	3.09e-15
PP_042409	Inf	2.223e-09
PP_051191	Inf	6.915e-08
PP_039001	Inf	3.328e-07
PP_042529	Inf	6.834e-07
LP_001937	Inf	2.966e-06
PP_039697	Inf	6.102e-06
PP_052705	Inf	1.416e-05
PP_038617	Inf	1.661e-05
PP_049919	Inf	2.342e-05
PN_022594	Inf	2.428e-05
PP_037201	Inf	4.653e-05
PP_054889	Inf	5.112e-05
LP_27028	Inf	6.064e-05
PP_043705	Inf	6.809e-05
PP_035017	Inf	9.231e-05
PP_035327	Inf	0.0001053
PP_042697	Inf	0.0001273
LP_001860	Inf	0.0002407
PN_022850	Inf	0.0002856
PP_038879	Inf	0.0003723
LP_002025	Inf	0.0005209
PN_022578	Inf	0.0005876
LP_003719	Inf	0.0007248
PP_054769	Inf	0.001105
PP_046921	Inf	0.001448
PP_034919	Inf	0.00149
PP_039025	Inf	0.001863
PP_043273	Inf	0.002081
LP_002512	Inf	0.003273
LP_001805	Inf	0.003976
PP_054529	Inf	0.006638
PP_042119	Inf	0.007033
LP_002245	Inf	0.007315
PP_054361	Inf	0.008401
PP_044065	Inf	0.008695
LP_33820	Inf	0.01079
PP_041713	Inf	0.01086
LP_002135	Inf	0.01161
PP_039865	Inf	0.0117
PN_028626	Inf	0.01255
PP_038329	Inf	0.0132
PP_036985	Inf	0.01323
PP_044689	Inf	0.01568
LP_003917	Inf	0.01603
LP_0019591	-Inf	0.01629
PP_042457	Inf	0.01718
GC_045	Inf	0.01728
LP_003029	Inf	0.01797
LP_34061	Inf	0.018
PN_024850	Inf	0.01826
LP_002146	Inf	0.01853
LP_003928	Inf	0.01871
LP_003587	Inf	0.01874
PP_049177	Inf	0.02081
LP_19249	Inf	0.02084
LP_29676	Inf	0.0211
PP_039241	Inf	0.02145
LP_33601	Inf	0.02151
LP_29012	Inf	0.02182
PN_027554	Inf	0.02265
LP_37386	Inf	0.02365
LP_27455	Inf	0.02463
LP_34820	Inf	0.02643
LP_36950	Inf	0.02736
LP_002256	Inf	0.03147
PP_042889	Inf	0.03352
PN_022082	Inf	0.03469
PP_046319	Inf	0.04053
LP_002355	Inf	0.04422
PN_021874	Inf	0.04647
PP_054409	Inf	0.04877
PP_054961	Inf	0.04896
