FC..class1.class2.	P.value
PP_054889	-Inf	1.968e-09
PP_041929	-Inf	7.574e-08
PP_042529	-Inf	1.73e-06
LP_009442	-Inf	4.996e-06
LP_24939	-Inf	1.068e-05
LP_20366	-Inf	1.4e-05
PP_041329	-Inf	1.772e-05
LP_009310	-Inf	2.799e-05
LP_002058	-Inf	6.726e-05
LP_27027	-Inf	0.0001108
LP_000796	-Inf	0.0001836
LP_002311	-Inf	0.0001845
LN_005077	-Inf	0.0002282
LP_27237	-Inf	0.0003275
LP_009409	-Inf	0.0004264
LP_34206	-Inf	0.0004415
LP_009398	-Inf	0.0004793
LP_003051	-Inf	0.0008951
LP_19486	-Inf	0.001027
LP_30125	-Inf	0.001117
LP_20946	-Inf	0.001141
LP_002300	-Inf	0.001162
LP_009431	-Inf	0.001205
LP_001959	-Inf	0.001273
LP_30223	-Inf	0.001477
LP_002468	-Inf	0.001839
LP_009288	-Inf	0.002561
LP_36122	-Inf	0.00274
LP_002036	-Inf	0.00349
PP_046777	-Inf	0.003574
LP_36412	-Inf	0.003917
LP_35195	-Inf	0.003996
LP_002446	-Inf	0.004117
LP_001882	-Inf	0.004228
LP_002168	-Inf	0.004255
LP_37033	-Inf	0.005716
LP_002457	-Inf	0.006219
LP_001871	-Inf	0.006431
LP_33935	-Inf	0.006598
LP_23980	-Inf	0.006875
LP_002179	-Inf	0.00697
LN_003349	-Inf	0.00713
LP_003128	-Inf	0.007615
LP_36495	-Inf	0.007706
LP_001948	-Inf	0.008182
LP_002157	-Inf	0.008566
LP_002289	-Inf	0.008762
LP_000851	-Inf	0.008779
LP_35086	-Inf	0.01076
LP_002523	-Inf	0.01086
LP_28580	-Inf	0.01103
PP_049177	-Inf	0.01136
LP_19835	-Inf	0.01167
LP_001970	-Inf	0.01179
LP_001148	-Inf	0.01515
LN_16788	-Inf	0.01556
LP_37187	-Inf	0.01601
LP_37241	-Inf	0.01673
LP_003029	-Inf	0.01732
LP_002069	-Inf	0.01904
LP_28868	-Inf	0.01949
LP_19551	-Inf	0.02068
LP_000906	-Inf	0.02135
LN_16499	-Inf	0.02142
PP_054769	-Inf	0.02253
LP_28693	-Inf	0.0226
LP_003939	-Inf	0.02422
LP_32559	-Inf	0.02434
LP_36212	-Inf	0.02455
LP_002399	-Inf	0.02779
LP_32444	-Inf	0.02787
LN_004922	-Inf	0.0283
LN_005041	-Inf	0.02847
LP_29154	-Inf	0.02898
LP_009365	-Inf	0.03033
LP_22581	-Inf	0.03077
PN_023378	-Inf	0.03119
LP_33933	-Inf	0.03425
LP_19912	-Inf	0.03834
LP_27026	-Inf	0.0384
LP_27560	-Inf	0.03888
LP_004687	-Inf	0.03955
LP_31689	-Inf	0.03967
LP_002410	-Inf	0.04007
LP_37330	-Inf	0.04481
LP_37954	-Inf	0.04632
LP_32706	-Inf	0.04646
LP_34819	-Inf	0.04712
LP_20243	-Inf	0.04982
PP_042673	Inf	1.968e-09
PP_042697	Inf	8.568e-07
PP_042409	Inf	1.013e-06
PP_039697	Inf	2.893e-06
PP_051191	Inf	4.178e-06
PP_052705	Inf	5.276e-06
PP_039001	Inf	2.204e-05
PN_027202	Inf	2.563e-05
PP_049919	Inf	8.084e-05
PP_044689	Inf	9.212e-05
PP_038879	Inf	9.657e-05
LP_001860	Inf	0.0001548
PN_022578	Inf	0.0001743
PP_046921	Inf	0.0002731
PP_035017	Inf	0.0003403
LP_001937	Inf	0.0005434
PN_022594	Inf	0.0006742
PP_035327	Inf	0.0007727
LP_27028	Inf	0.0008426
LP_35311	Inf	0.0009527
PP_043705	Inf	0.001078
LP_19083	Inf	0.001374
PN_027554	Inf	0.00197
PP_036985	Inf	0.002353
PP_039025	Inf	0.002526
PP_041713	Inf	0.002669
LP_001805	Inf	0.003199
LP_002512	Inf	0.004239
PP_037201	Inf	0.004604
PP_054361	Inf	0.004732
PP_038329	Inf	0.004755
PN_022610	Inf	0.004761
LP_000763	Inf	0.005871
LP_29012	Inf	0.006278
LP_003741	Inf	0.0067
LP_27455	Inf	0.008442
PP_034919	Inf	0.008878
PP_043801	Inf	0.009185
PP_054529	Inf	0.009745
LP_34749	Inf	0.01053
PN_027714	Inf	0.0123
LP_31157	Inf	0.01267
LP_33434	Inf	0.01364
LP_002025	Inf	0.01418
PP_038617	Inf	0.01491
PP_042119	Inf	0.01581
PP_042457	Inf	0.01646
LP_18725	Inf	0.01668
PN_023106	Inf	0.01699
LP_003719	Inf	0.01733
GC_045	Inf	0.01823
LP_37188	Inf	0.0202
LP_35310	Inf	0.02027
LP_19249	Inf	0.02061
PP_057097	Inf	0.02076
PN_021874	Inf	0.02399
LP_36210	Inf	0.02541
PN_022850	Inf	0.02737
PN_024866	Inf	0.02787
LP_18756	Inf	0.02926
PP_042889	Inf	0.02934
PP_042217	Inf	0.0336
PP_054409	Inf	0.03649
PN_024850	Inf	0.03678
LP_003917	Inf	0.03683
LP_18700	Inf	0.03686
PP_046319	Inf	0.03751
LP_25128	Inf	0.03803
PP_036961	Inf	0.03905
LP_17963	Inf	0.04127
PN_028626	Inf	0.04263
LP_002245	Inf	0.04398
LP_18066	Inf	0.0441
LP_003587	Inf	0.04497
PN_022082	Inf	0.04578
LP_18428	Inf	0.04853
PP_039241	Inf	0.04891
