FC..class1.class2.	P.value
PP_054889	-Inf	1.06e-13
LP_009409	-Inf	2.483e-08
PP_038879	-Inf	2.773e-08
PP_039001	-Inf	4.545e-08
LP_001937	-Inf	6.722e-07
PN_027202	-Inf	2.551e-06
PN_027554	-Inf	3.757e-06
LP_23980	-Inf	9.863e-06
LP_001860	-Inf	1.122e-05
LP_001148	-Inf	2.546e-05
LP_25975	-Inf	2.586e-05
LP_000796	-Inf	3.763e-05
LP_20946	-Inf	4.905e-05
PN_022578	-Inf	5.325e-05
LP_009442	-Inf	5.384e-05
PP_042673	-Inf	6.256e-05
PP_036985	-Inf	8.36e-05
LP_001948	-Inf	8.865e-05
PP_041929	-Inf	9.038e-05
LN_15403	-Inf	0.0001583
PP_042409	-Inf	0.0001695
LP_24086	-Inf	0.0002556
LP_002025	-Inf	0.0004043
LP_005812	-Inf	0.0004159
LP_26119	-Inf	0.0004438
PN_022610	-Inf	0.0006725
LP_23854	-Inf	0.0009187
LP_26236	-Inf	0.00118
LP_002457	-Inf	0.001394
LP_009431	-Inf	0.001443
LP_22041	-Inf	0.001597
PP_039025	-Inf	0.001599
PP_051191	-Inf	0.001767
LP_23731	-Inf	0.001903
LN_16788	-Inf	0.001911
PN_023106	-Inf	0.002132
LN_005077	-Inf	0.002967
PP_042529	-Inf	0.003404
LP_003436	-Inf	0.004221
PP_054769	-Inf	0.004313
LP_003719	-Inf	0.004349
PP_041329	-Inf	0.004353
PP_039913	-Inf	0.004703
LP_003051	-Inf	0.004759
LP_27560	-Inf	0.005627
LP_29012	-Inf	0.005654
LN_16548	-Inf	0.006571
LP_24088	-Inf	0.006789
PP_041713	-Inf	0.009082
LP_005086	-Inf	0.009602
LP_002479	-Inf	0.01021
LP_23730	-Inf	0.01023
LP_002245	-Inf	0.01052
LP_22581	-Inf	0.01096
LN_16499	-Inf	0.01207
PP_043273	-Inf	0.01217
PP_054529	-Inf	0.01349
LP_003917	-Inf	0.01356
LP_24939	428.744092212673	0.01397
LN_003349	-Inf	0.01408
LP_002699	-Inf	0.0146
LP_29154	-Inf	0.01476
LP_31157	-Inf	0.01484
LP_002135	-Inf	0.01541
PP_043801	-Inf	0.01565
LP_001159	-Inf	0.01581
LP_001082	-Inf	0.01614
LP_28563	-Inf	0.01645
PP_054361	-Inf	0.0172
LN_005041	-Inf	0.01757
LP_34061	-Inf	0.01772
LP_27237	-Inf	0.01803
LP_002468	-Inf	0.01927
LP_001959	-873.012653414531	0.02018
LP_22845	-Inf	0.02064
LN_000764	-Inf	0.02071
LP_30223	-Inf	0.02249
LP_28871	-Inf	0.02274
LP_009365	-Inf	0.02343
LP_20797	-Inf	0.0264
LP_003326	-Inf	0.02933
LP_001805	-Inf	0.02999
LN_001333	-Inf	0.03248
LP_25476	-Inf	0.034
PN_027714	-Inf	0.03436
LP_36950	-Inf	0.03903
LN_000788	-Inf	0.03918
LP_32844	-Inf	0.04098
LP_002523	-Inf	0.04102
LP_003730	-Inf	0.04146
LP_22580	-Inf	0.04203
LP_20366	Inf	0.04262
LN_16761	-Inf	0.04281
LP_21506	-Inf	0.04395
LP_28102	-Inf	0.04573
LP_34206	Inf	5.776e-09
LP_35310	Inf	1.319e-08
PP_046921	Inf	2.429e-08
