FC..class1.class2.	P.value
hsa-miR-5091	-1.36922178725714	6.504e-10
hsa-miR-489-3p	-1.38571419388095	1.286e-09
hsa-miR-103a-2-5p	-1.08253005332081	4.351e-07
hsa-miR-4647	-1.05439229681863	9.612e-07
hsa-miR-625-5p	-1.01187886953598	1.705e-06
hsa-miR-576-3p	-0.973695675648091	1.759e-06
hsa-miR-3187-3p	-0.991656541470665	2.053e-06
hsa-miR-3936	-0.988790638579697	2.196e-06
hsa-miR-130a-5p	-0.947584105848861	3.355e-06
hsa-miR-19b-3p	-0.972845948496273	4.161e-06
hsa-miR-301b-5p	-0.933187490100098	6.11e-06
hsa-miR-3158-3p	-0.89888784152585	1.348e-05
hsa-miR-183-3p	-0.87434889833848	1.632e-05
hsa-miR-4677-3p	-0.866699523770224	1.699e-05
hsa-miR-215-5p	-0.864333803030956	1.917e-05
hsa-miR-548am-3p	-0.85464861442738	1.986e-05
hsa-miR-18a-5p	-0.845028011683616	2.551e-05
hsa-miR-5581-3p	-0.830331500476914	2.811e-05
hsa-miR-10401-3p	-0.821890923905675	2.905e-05
hsa-miR-4683	-0.83341308592955	2.965e-05
hsa-miR-549a-3p	-0.79911904571404	3.784e-05
hsa-miR-940	-0.756330919033137	4.092e-05
hsa-miR-29b-3p	-0.797112166529857	4.194e-05
hsa-miR-1910-5p	-0.792856795058251	4.223e-05
hsa-miR-542-3p	-0.717856771218502	0.0001067
hsa-miR-1304-5p	-0.722372252340995	0.0001129
hsa-miR-340-5p	-0.710047527784604	0.0001167
hsa-miR-1262	-0.695021764196039	0.0001257
hsa-miR-3180	-0.676226436308528	0.0001499
hsa-miR-4286	-0.689659879387849	0.0001617
hsa-miR-3180-3p	-0.676226436308528	0.0001756
hsa-miR-584-3p	-0.674153101761185	0.0001979
hsa-miR-551b-5p	-0.613961640111386	0.0002461
hsa-miR-11401	-0.635987946441385	0.0002571
hsa-miR-203a-3p	-0.636885005410682	0.0002644
hsa-miR-1914-5p	-0.622154389703034	0.0003102
hsa-miR-324-3p	-0.625266521968786	0.0003242
hsa-miR-129-2-3p	-0.635091444911285	0.0003328
hsa-miR-1909-5p	-0.618827395283202	0.0003377
hsa-miR-582-5p	-0.623487338711521	0.0003511
hsa-miR-21-3p	-0.613520111403766	0.0003798
hsa-miR-1909-3p	-0.608672193156388	0.0004237
hsa-miR-34a-5p	-0.599680677135515	0.0004375
hsa-miR-1226-5p	-0.594443236656243	0.0004458
hsa-miR-10392-5p	-0.581432220700288	0.0005077
hsa-miR-12136	-0.587706228666583	0.0005395
hsa-miR-3200-3p	-0.583808806104786	0.0005516
hsa-miR-4689	-0.575400337769174	0.0005686
hsa-miR-504-5p	-0.571964836718095	0.000624
hsa-miR-6833-3p	-0.564478078656072	0.0007063
hsa-miR-5000-3p	-0.551944832282812	0.0007415
hsa-miR-3619-5p	-0.551944832282812	0.0007835
hsa-miR-548az-5p	-0.533451183035448	0.0008242
hsa-miR-6873-3p	-0.546877553404188	0.0008699
hsa-miR-4691-3p	-0.532824877385981	0.0009945
hsa-miR-151b	-0.517254954617427	0.001064
hsa-miR-671-5p	-0.522840788813359	0.001067
hsa-miR-516a-5p	-0.528032212338484	0.001068
hsa-miR-6510-3p	-0.519941730772745	0.00107
hsa-miR-1268b	-0.5263689234488	0.0011
hsa-miR-4717-3p	-0.515810298851733	0.001152
hsa-miR-4470	-0.492890406218227	0.001235
hsa-miR-548i	-0.513543044231269	0.001247
hsa-miR-101-3p	-0.510457064357526	0.001251
hsa-miR-29b-1-5p	-0.512307860045468	0.001435
hsa-miR-5588-5p	-0.501442751900983	0.001465
hsa-miR-4657	-0.490456162039664	0.001539
hsa-miR-217-5p	-0.493905888093679	0.001553
hsa-miR-6811-5p	-0.484388460507959	0.001556
hsa-miR-5187-5p	-0.495532147294641	0.001583
hsa-miR-3162-5p	-0.495532147294641	0.001584
hsa-miR-210-5p	-0.485397973557959	0.001607
hsa-miR-194-5p	-0.492687395588062	0.001607
hsa-miR-3188	-0.495532147294641	0.001607
hsa-miR-6776-5p	-0.495532147294641	0.001615
hsa-miR-6846-5p	-0.495532147294641	0.001633
hsa-miR-6827-3p	-0.495532147294641	0.001652
hsa-miR-4791	-0.492078535042672	0.001665
hsa-miR-6780b-5p	-0.495532147294641	0.001671
hsa-miR-627-3p	-0.492078535042672	0.001676
hsa-miR-4453	-0.495532147294641	0.001679
hsa-miR-6728-3p	-0.495532147294641	0.00169
hsa-miR-3130-3p	-0.492078535042672	0.001693
hsa-miR-6130	-0.495532147294641	0.001706
hsa-miR-6837-5p	-0.495532147294641	0.001728
hsa-miR-6513-3p	-0.487014665186324	0.001772
hsa-miR-1908-3p	-0.477944250839036	0.001848
hsa-miR-3605-5p	-0.482371551133065	0.00188
hsa-miR-4485-3p	-0.467732918626786	0.00193
hsa-miR-492	-0.473330190597877	0.002046
hsa-miR-5008-3p	-0.457989644463391	0.002242
hsa-miR-33a-3p	-0.451859343104953	0.00233
hsa-miR-30b-3p	-0.459179169093832	0.00253
hsa-miR-365a-5p	-0.447918089346892	0.002545
hsa-miR-212-5p	-0.437720936370133	0.002588
hsa-miR-7113-5p	-0.45600928033515	0.002633
hsa-miR-151a-5p	-0.443987573250296	0.002891
hsa-miR-874-3p	-0.431675979730294	0.002899
hsa-miR-4467	-0.448508591452505	0.002935
hsa-miR-5196-3p	-0.432649261181826	0.003064
hsa-miR-652-5p	-0.411771091051895	0.003375
hsa-miR-5089-3p	-0.423139297775808	0.003447
hsa-miR-5587-3p	-0.423139297775808	0.003521
hsa-miR-6884-3p	-0.423139297775808	0.003525
hsa-miR-4695-5p	-0.423139297775808	0.003546
hsa-miR-3651	-0.418118536308665	0.003596
hsa-miR-6837-3p	-0.423139297775808	0.003607
hsa-miR-3176	-0.423139297775808	0.003654
hsa-miR-197-5p	-0.400110955040741	0.003685
hsa-miR-885-5p	-0.410811788509143	0.003721
hsa-miR-5189-5p	-0.423139297775808	0.003821
hsa-miR-3152-3p	-0.401444226676489	0.003896
hsa-miR-550a-5p	-0.373701051008195	0.004002
hsa-miR-573	-0.394600489838142	0.004045
hsa-miR-34c-5p	-0.400682206301774	0.004072
hsa-miR-4793-3p	-0.408320583064263	0.004351
hsa-miR-331-3p	-0.403160245562215	0.004408
hsa-miR-6734-5p	-0.399159371970236	0.004478
hsa-miR-550a-3-5p	-0.373701051008195	0.00452
hsa-miR-1266-5p	-0.386845571568701	0.004651
hsa-miR-139-3p	-0.383265915043729	0.004667
hsa-miR-3935	-0.395928676331139	0.004914
hsa-miR-578	-0.364013496254377	0.005145
hsa-miR-548o-3p	-0.38364230300331	0.00517
hsa-miR-29b-2-5p	-0.355866839365776	0.006349
hsa-miR-3127-3p	-0.354759487354735	0.006354
hsa-miR-1260b	-0.335699214659963	0.007415
hsa-miR-2110	-0.326262685151254	0.007478
hsa-miR-6799-3p	-0.331880875313568	0.00767
hsa-miR-18a-3p	-0.333879697404169	0.007866
hsa-miR-29c-5p	-0.332970798589448	0.007881
hsa-miR-26b-3p	-0.425462478697937	0.008391
hsa-miR-636	-0.320666288686327	0.008607
hsa-miR-1273c	-0.31778629762958	0.008714
hsa-miR-129-5p	-0.32102669214583	0.009143
hsa-miR-429	-0.313297789743922	0.009274
hsa-miR-210-3p	-0.305788392232109	0.009496
hsa-miR-4676-3p	-0.306145097646435	0.009537
hsa-miR-1294	-0.381573383354069	0.009663
hsa-miR-128-1-5p	-0.300981481373803	0.009702
hsa-miR-199a-5p	-0.294774043383635	0.01006
hsa-miR-106b-5p	-0.293358942690592	0.01024
hsa-miR-550a-3p	-0.413883804662473	0.01029
hsa-miR-193b-3p	-0.285776466425808	0.01109
hsa-miR-6859-5p	-0.289298242960189	0.01154
hsa-miR-574-3p	-0.277359114000195	0.01166
hsa-miR-548aq-3p	-0.27805868731534	0.01178
hsa-miR-2681-5p	-0.270555993166337	0.01187
hsa-miR-449c-5p	-0.275262427123871	0.01193
hsa-miR-3183	-0.276659879748829	0.01201
hsa-miR-3661	-0.283140764381793	0.01202
hsa-miR-15a-5p	-0.392705199180787	0.01211
hsa-miR-3157-5p	-0.264304536409231	0.01254
hsa-miR-4521	-0.260324685496686	0.0132
hsa-miR-181a-5p	-0.266906018825185	0.01328
hsa-miR-450a-2-3p	-0.259460951386657	0.01354
hsa-miR-6515-5p	-0.257907531918752	0.01358
hsa-miR-6783-3p	-0.262572817270941	0.01442
hsa-miR-3662	-0.348684197786196	0.01485
hsa-miR-15b-3p	-0.240929409193099	0.01489
hsa-miR-664a-3p	-0.257390096905414	0.01497
hsa-miR-21-5p	-0.23854450717728	0.01514
hsa-miR-582-3p	-0.245540026374521	0.0154
hsa-miR-148a-5p	-0.240758928242722	0.01606
hsa-miR-3944-3p	-0.233616858998702	0.01619
hsa-miR-3613-3p	-0.335335127581466	0.01629
hsa-miR-16-5p	-0.228875046871633	0.0164
hsa-miR-6871-5p	-0.224485847246574	0.01691
hsa-miR-3934-5p	-0.229720656790274	0.01769
hsa-miR-365b-3p	-0.228875046871633	0.01786
hsa-miR-26a-2-3p	-0.231752145097155	0.01809
hsa-miR-4502	-0.215579775382216	0.0183
hsa-miR-365a-3p	-0.227016447861895	0.01835
hsa-miR-769-3p	-0.206228941455776	0.01922
hsa-miR-6741-3p	-0.210896782498619	0.0197
hsa-miR-5584-5p	-0.213069138909714	0.02001
hsa-miR-342-3p	-0.203236142095557	0.02017
hsa-miR-4638-5p	-0.201410260766896	0.02047
hsa-miR-10399-3p	-0.207561069935362	0.02059
hsa-miR-6511a-3p	-0.21574730659542	0.02114
hsa-miR-26b-5p	-0.206894851941122	0.02119
hsa-miR-147b-3p	-0.290885851528791	0.0213
hsa-miR-548u	-0.194129756521541	0.02199
hsa-miR-548n	-0.194790104417674	0.0221
hsa-miR-361-5p	-0.186557400948926	0.02224
hsa-miR-99a-5p	-0.193634693877545	0.0231
hsa-miR-1292-3p	-0.196772963565072	0.02364
hsa-miR-452-5p	-0.181640235176961	0.0237
hsa-miR-5189-3p	-0.17918792277128	0.02375
hsa-miR-339-3p	-0.17918792277128	0.02417
hsa-miR-15b-5p	-0.181476617933702	0.02438
hsa-miR-7976	-0.189022282875856	0.02438
hsa-miR-27a-5p	-0.177555360595383	0.02481
hsa-let-7b-3p	-0.175435787910173	0.02482
hsa-miR-589-5p	-0.171368418311981	0.02615
hsa-miR-3124-5p	-0.180822334457232	0.02659
hsa-miR-4707-3p	-0.192974874501356	0.02709
hsa-miR-92a-3p	-0.169582402052169	0.02735
hsa-miR-181a-3p	-0.162944843726976	0.02748
hsa-miR-6728-5p	-0.158107368396944	0.02818
hsa-miR-30c-2-3p	-0.163591067720262	0.02819
hsa-miR-4654	-0.168284868482175	0.02853
hsa-miR-511-5p	-0.159234662676126	0.02904
hsa-miR-6501-5p	-0.159718058573055	0.02952
hsa-miR-449a	-0.158107368396944	0.03006
hsa-miR-30a-5p	-0.150881433446724	0.03009
