FC..class1.class2.	P.value
hsa-miR-29b-2-5p	-0.146563181111933	0.04792
hsa-miR-4689	-0.190997225060914	0.04805
hsa-miR-6786-5p	-0.152804813410605	0.04824
hsa-miR-378j	-0.155694699836063	0.04824
hsa-miR-5010-5p	-0.154570167148848	0.04841
hsa-miR-6749-3p	-0.152804813410605	0.04892
hsa-miR-3152-5p	-0.258425152581204	0.04931
hsa-miR-4742-3p	-0.187542848419543	0.04969
hsa-miR-548u	-0.210062131019805	0.0499
hsa-miR-429	-0.184424571137427	0.04994
hsa-miR-1269a	1.14730669878029	5.554e-07
hsa-miR-3200-3p	1.10902617649837	7.862e-07
hsa-miR-3187-3p	0.997111720675174	4.171e-06
hsa-miR-1276	1.00863030514344	4.854e-06
hsa-miR-3614-5p	0.940354711533293	1.093e-05
hsa-miR-6866-5p	0.971589535530062	1.164e-05
hsa-miR-10399-5p	0.833497336859835	4.871e-05
hsa-miR-582-3p	0.827006009638977	6.808e-05
hsa-miR-1910-5p	0.734655433479005	0.0001372
hsa-miR-6716-3p	0.670840335881562	0.0002301
hsa-miR-203a-3p	0.669933835668961	0.0003895
hsa-miR-940	0.660837367696284	0.0004244
hsa-miR-1268b	0.630405471482323	0.000432
hsa-miR-504-5p	0.612588406698718	0.0006524
hsa-miR-500b-3p	0.603121869839996	0.000668
hsa-miR-1304-5p	0.632268215499513	0.0006769
hsa-miR-23a-5p	0.614474282837701	0.0007654
hsa-miR-4502	0.585923976958601	0.0007803
hsa-miR-200a-3p	0.570462931026041	0.0008895
hsa-miR-138-1-3p	0.569491091958716	0.001111
hsa-miR-3193	0.583037623796664	0.001152
hsa-miR-5091	0.603121869839996	0.001154
hsa-miR-127-3p	0.566571640626761	0.001179
hsa-miR-219a-1-3p	0.545968369105292	0.001436
hsa-miR-6510-3p	0.534061602421118	0.001479
hsa-miR-135b-3p	0.519038609600059	0.001524
hsa-miR-4787-3p	0.58111017522555	0.001608
hsa-miR-378d	0.513995979367013	0.001668
hsa-let-7g-3p	0.537047519404657	0.001712
hsa-miR-6782-3p	0.499782120147312	0.001919
hsa-miR-489-3p	0.575312330687437	0.00193
hsa-miR-1908-3p	0.50182126542091	0.002007
hsa-miR-1226-5p	0.505890929729957	0.002089
hsa-miR-1267	0.497740088609093	0.002179
hsa-miR-582-5p	0.603121869839996	0.002225
hsa-miR-3662	0.523060061795249	0.002337
hsa-miR-5588-5p	0.506906554580693	0.002424
hsa-miR-3138	0.474046599319306	0.002455
hsa-miR-4684-3p	0.395062799517578	0.002724
hsa-miR-17-3p	0.486456955768731	0.002838
hsa-miR-3617-3p	0.475084882948783	0.002913
hsa-miR-3180-3p	0.473007567916174	0.002928
hsa-miR-3180	0.473007567916174	0.002936
hsa-miR-556-3p	0.455228571117139	0.003839
hsa-miR-451a	0.459431618637297	0.004087
hsa-miR-342-5p	0.43722773891291	0.004174
hsa-miR-4793-3p	0.441483479582645	0.004422
hsa-miR-184	0.434027674663597	0.00448
hsa-miR-4683	0.38404980679516	0.004785
hsa-miR-3074-3p	0.389566811762726	0.004986
hsa-miR-5581-3p	0.407080775450501	0.005205
hsa-miR-625-5p	0.395062799517578	0.005523
hsa-miR-374b-3p	0.323081789503733	0.005524
hsa-miR-6842-3p	0.466757615726171	0.005628
hsa-miR-3152-3p	0.414676780426886	0.00605
hsa-miR-140-5p	0.393965275660243	0.00619
hsa-miR-6721-5p	0.389566811762726	0.00664
hsa-miR-324-5p	0.3928669162308	0.006915
hsa-miR-6513-3p	0.481298941547565	0.007282
hsa-miR-194-3p	0.252173413202027	0.007422
hsa-miR-4660	0.399444564589458	0.007482
hsa-miR-7851-3p	0.36289064266586	0.008019
hsa-miR-2278	0.350497247084133	0.008349
hsa-miR-519a-2-5p	0.465713319595964	0.008585
hsa-miR-3918	0.381837083906047	0.008644
hsa-miR-320c	0.358396261956654	0.00866
hsa-miR-1287-3p	0.349365277594213	0.008783
hsa-miR-3065-5p	0.339137384919585	0.008914
hsa-miR-551b-5p	0.18269229751619	0.008925
hsa-miR-589-3p	0.430820496519772	0.008949
hsa-miR-424-5p	0.391767719955997	0.008991
hsa-miR-4775	0.345964030342872	0.009012
hsa-miR-23c	0.20163386116965	0.009062
hsa-miR-520b-5p	0.465713319595964	0.009625
hsa-miR-18a-5p	0.343692069179019	0.009757
hsa-miR-409-3p	0.366252263699564	0.0102
hsa-miR-6819-5p	0.323081789503733	0.01058
hsa-miR-212-5p	0.345964030342872	0.01092
hsa-miR-6853-3p	0.32077347694587	0.01131
hsa-miR-1293	0.31150311546827	0.0117
hsa-miR-4677-3p	0.309176187478515	0.01195
hsa-miR-340-3p	0.309176187478515	0.01213
hsa-miR-339-3p	0.314986485468515	0.01222
hsa-miR-2277-3p	0.289244285156642	0.01245
hsa-miR-548i	0.336854639125465	0.01268
hsa-miR-769-3p	0.288063200325316	0.01294
hsa-miR-1262	0.377401430785794	0.01302
hsa-miR-6859-5p	0.324234562270531	0.01315
hsa-miR-6783-3p	0.301002256032814	0.01338
hsa-miR-3944-3p	0.36289064266586	0.01422
hsa-miR-199b-3p	0.270229907237998	0.01494
hsa-miR-1255a	0.317304068361915	0.01553
hsa-miR-122-5p	0.210388864445403	0.01594
hsa-miR-3690	0.340277404766254	0.01613
hsa-miR-579-5p	0.367371065648529	0.01702
hsa-miR-29b-1-5p	0.266636642513989	0.01727
hsa-miR-4723-5p	0.278579550458423	0.01733
hsa-miR-16-2-3p	0.197865391353738	0.01739
hsa-miR-199a-3p	0.270229907237998	0.0174
hsa-miR-330-5p	0.264236151043547	0.01741
hsa-miR-20a-5p	0.273814244587037	0.01907
hsa-miR-6869-5p	0.314986485468515	0.01945
hsa-miR-342-3p	0.255802836602718	0.01958
hsa-miR-766-3p	0.217851096811131	0.01963
hsa-miR-1292-3p	0.369606070031838	0.02024
hsa-miR-190b-5p	0.278579550458423	0.02051
hsa-miR-4690-5p	0.337996463515016	0.02077
hsa-miR-30c-1-3p	0.357270475679559	0.02112
hsa-miR-671-5p	0.24000896473507	0.02116
hsa-miR-503-3p	0.267835392097615	0.02184
hsa-miR-6511b-5p	0.264236151043547	0.02204
hsa-miR-196a-5p	0.263034405833794	0.02204
hsa-miR-3909	0.31150311546827	0.02205
hsa-miR-4726-5p	0.217851096811131	0.02256
hsa-miR-619-5p	0.331131922217202	0.0226
hsa-miR-19b-1-5p	0.246104009883917	0.02274
hsa-miR-4700-5p	0.217851096811131	0.02281
hsa-miR-26a-1-3p	0.225274929869569	0.02294
hsa-miR-760	0.295135249000818	0.02341
hsa-miR-6515-5p	0.233888060174277	0.02528
hsa-miR-34a-5p	0.222804561045261	0.02532
hsa-miR-4707-3p1	-0.144329165559629	0.02557
hsa-miR-4646-5p	0.327687364176047	0.02586
hsa-miR-7-1-3p	0.292781749227846	0.02591
hsa-miR-193a-5p	0.22650852980868	0.02597
hsa-miR-218-5p	0.227741075839128	0.02602
hsa-miR-1285-5p	0.11503324294624	0.02604
hsa-miR-132-5p	0.183962834842595	0.02606
hsa-miR-29c-5p	0.227741075839128	0.02615
hsa-miR-4742-5p	0.221567788538409	0.02644
hsa-miR-1301-3p	0.221567788538409	0.02696
hsa-miR-22-3p	0.215367972203479	0.02748
hsa-miR-3143	0.206643223983395	0.0278
hsa-miR-146b-5p	0.279768421593595	0.02828
hsa-miR-6511a-5p	0.326537348139952	0.02845
hsa-miR-659-5p	0.296310560708092	0.02888
hsa-miR-877-3p	0.289244285156642	0.02909
hsa-miR-2110	0.253384235800074	0.02962
hsa-miR-5690	0.195347598322219	0.03055
hsa-miR-3135a	0.279768421593595	0.03079
hsa-miR-3150a-5p	0.298658315564515	0.03111
hsa-miR-199a-5p	0.200378797984026	0.03155
hsa-miR-1260b	0.283329168051641	0.03161
hsa-miR-106b-5p	0.249748715083569	0.03249
hsa-miR-1289	0.27500704749987	0.03318
hsa-miR-3133	0.206643223983395	0.03332
hsa-miR-34c-3p	0.288063200325316	0.03366
hsa-miR-3928-3p	0.169925001442312	0.03367
hsa-miR-577	0.185232254230161	0.03402
hsa-miR-200b-5p	0.222804561045261	0.03419
hsa-miR-500b-5p	0.296310560708092	0.0343
hsa-miR-542-3p	0.298658315564515	0.03511
hsa-miR-186-5p	0.185232254230161	0.0355
